# name	outer (lwh)	inner	weight
0.07 litre RUB 	090 x 065 x 030 	061 x 048 x 024 	24
0.14 litre RUB 	090 x 065 x 055 	064 x 048 x 042 	35
0.2 litre RUB 	120 x 085 x 045 	090 x 065 x 032 	46
0.3 litre RUB 	120 x 085 x 065 	090 x 065 x 055 	54
0.35 litre RUB 	155 x 100 x 040 	120 x 080 x 035 	67
0.55 litre RUB 	220 x 100 x 040 	185 x 080 x 030 	102
0.7 litre RUB 	155 x 100 x 080 	120 x 080 x 070 	90
0.75 litre RUB 	195 x 135 x 055 	150 x 110 x 045 	143
0.8 litre RUB 	355 x 100 x 040 	320 x 080 x 030 	155
0.9 litre RUB 	220 x 100 x 070 	185 x 080 x 060 	130
1.5 litre RUB 	355 x 100 x 070 	320 x 080 x 060 	195
1.6 litre RUB 	195 x 135 x 110 	150 x 110 x 095 	200
1.7 litre folding RUB 	180 x 135 x 090 	160 x 115 x 087 	105
1.75 litre RUB 	245 x 180 x 078 	195 x 150 x 060 	306
2.1 litre RUB 	240 x 130 x 125 	190 x 100 x 104 	241
2.5 litre RUB 	340 x 200 x 70 	290 x 160 x 50 	350
3 litre RUB 	245 x 180 x 160 	190 x 143 x 120 	420
4 litre RUB 	395 x 255 x 088 	348 x 220 x 068 	810
5 litre RUB 	340 x 200 x 125 	285 x 160 x 105 	490
5 litre XL RUB 	340 x 200 x 150 	285 x 160 x 135 	570
6 litre RUB 	465 x 270 x 085 	400 x 225 x 070 	890
6.5 litre RUB 	430 x 180 x 160 	380 x 143 x 120 	668
7 litre RUB 	400 x 350 x 085 	340 x 307 x 070 	800
8 litre open front RUB 	340 x 200 x 175 	290 x 165 x 153 	590
9 litre RUB 	395 x 255 x 155 	335 x 210 x 140 	810
9 litre XL RUB (7inch small) 	395 x 255 x 205 	335 x 210 x 180 	1000
10 litre RUB 	520 x 340 x 085 	460 x 298 x 070 	1200
11 litre RUB 	456 x 356 x 120 	375 x 310 x 091 	1040
11 litre XL RUB 	455 x 356 x 148 	375 x 310 x 125 	1215
12 litre RUB 	465 x 270 x 150 	415 x 235 x 140 	930
14 litre open front RUB 	395 x 255 x 210 	336 x 214 x 190 	950
18 litre RUB 	480 x 390 x 200 	395 x 335 x 170 	1550
18 litre XL RUB (7inch medium) 	480 x 390 x 230 	395 x 335 x 200 	1500
19 litre RUB 	395 x 255 x 290 	315 x 205 x 270 	1200
19 litre XL RUB (LP small) 	395 x 255 x 330 	315 x 205 x 310 	1300
20 litre RUB 	710 x 440 x 120 	610 x 370 x 090 	2150
21 litre RUB 	450 x 350 x 200 	370 x 300 x 175 	1000
21 litre XL RUB 	450 x 350 x 230 	370 x 300 x 210 	1520
22 litre RUB 	800 x 255 x 155 	750 x 210 x 140 	1480
24 litre RUB 	465 x 270 x 290 	380 x 230 x 270 	1380
24.5 litre RUB 	600 x 400 x 155 	530 x 350 x 130 	1500
25 litre RUB 	395 x 255 x 360 	330 x 220 x 345 	1362
32 litre folding RUB 	470 x 342 x 234 	443 x 315 x 225 	945
33 litre RUB 	710 x 440 x 165 	605 x 370 x 145 	2233
35 litre RUB 	480 x 390 x 310 	370 x 310 x 280 	2100
35 litre folding RUB 	485 x 390 x 120 	- 	2100
35 litre XL RUB (LP medium) 	480 x 390 x 355 	370 x 310 x 315 	2300
42 litre RUB 	520 x 440 x 310 	405 x 365 x 280 	2520
45 litre folding RUB 	570 x 390 x 285 	520 x 360 x 280 	1490
48 litre RUB 	600 x 400 x 315 	530 x 325 x 289 	2575
48 litre XL RUB 	600 x 400 x 350 	530 x 325 x 330 	2900
50 litre RUB 	710 x 440 x 230 	605 x 370 x 200 	2620
64 litre RUB 	710 x 440 x 310 	605 x 370 x 280 	3100
64 litre open front RUB 	710 x 440 x 310 	605 x 370 x 280 	3044
70 litre RUB 	810 x 620 x 225 	710 x 545 x 190 	4240
77 litre RUB 	1201 x 270 x 355 	1135 x 232 x 340 	3765
84 litre RUB 	710 x 440 x 380 	605 x 370 x 355 	3380
145 litre RUB 	810 x 620 x 430 	710 x 545 x 400 	5500
